Crime_Rate,Residential_Land,Industrial_Land,River_Dummy,Air_Pollution,Average_Rooms,Older Units,Distance_To_Employment,Acess_To_Highway,TAX,Black Population,Low_State_Population,Median Home Value
4%,8000%,364%,0%,39%,5.88,19,9.2203,1,? 315.00,39518%,925%,? 20.90
2%,9000%,375%,0%,39%,7.45,34,6.3361,3,? 244.00,38634%,311%,? 44.00
61%,2000%,397%,0%,65%,8.70,87,1.801,5,? 264.00,38970%,512%,? 50.00
66%,2000%,397%,0%,65%,7.33,100,1.8946,5,? 264.00,38329%,779%,? 36.00
66%,2000%,397%,0%,65%,6.84,100,2.0107,5,? 264.00,39193%,690%,? 30.10
54%,2000%,397%,0%,65%,7.20,82,2.1121,5,? 264.00,39280%,959%,? 33.80
53%,2000%,397%,0%,65%,7.52,89,2.1398,5,? 264.00,38837%,726%,? 43.10
NA,2000%,397%,0%,65%,8.40,92,2.2885,5,? 264.00,38686%,591%,? 48.80
83%,2000%,397%,0%,65%,7.33,95,2.0788,5,? 264.00,39342%,1125%,? 31.00
55%,2000%,397%,0%,65%,7.21,92,1.9301,5,? 264.00,38789%,810%,? 36.50
76%,2000%,397%,0%,65%,5.56,63,1.9865,5,? 264.00,39240%,1045%,? 22.80
79%,NA,397%,0%,65%,7.01,85,2.1329,5,? 264.00,38407%,1479%,? 30.70
58%,2000%,397%,0%,58%,8.30,67,2.4216,5,? 264.00,38454%,744%,? 50.00
54%,2000%,397%,0%,58%,7.47,53,2.872,5,? 264.00,39030%,316%,? 43.50
9%,2000%,696%,100%,46%,5.92,62,3.9175,3,? 223.00,39134%,1365%,? 20.70
30%,2000%,696%,0%,46%,5.86,42,4.429,3,? 223.00,38865%,1300%,? 21.10
16%,2000%,696%,0%,46%,6.24,16,4.429,3,? 223.00,39690%,NA,? 25.20
11%,2000%,696%,0%,46%,6.54,59,3.9175,3,? 223.00,39496%,773%,? 24.40
22%,2000%,696%,100%,46%,7.69,52,4.3665,3,? 223.00,39077%,658%,? 35.20
6%,4000%,641%,100%,45%,6.76,33,4.0776,4,? 254.00,39690%,353%,? 32.40
10%,4000%,641%,0%,45%,6.85,43,4.2673,4,? 254.00,39690%,298%,? 32.00
10%,4000%,641%,100%,45%,7.27,49,4.7872,4,? 254.00,38925%,605%,? 33.20
6%,4000%,641%,100%,45%,6.83,28,4.8628,4,? 254.00,39345%,NA,? 33.10
8%,4000%,641%,0%,45%,6.48,32,4.1403,4,? 254.00,39690%,719%,? 29.10
21%,2000%,333%,0%,44%,6.81,32,4.1007,5,? 216.00,39690%,485%,? 35.10
4%,2000%,333%,0%,44%,7.82,65,4.6947,5,? 216.00,38731%,376%,? 45.40
4%,2000%,333%,0%,44%,6.97,NA,5.2447,5,? 216.00,39223%,459%,? 35.40
6%,2000%,333%,100%,44%,7.65,50,5.2119,5,? 216.00,37707%,301%,? 46.00
2%,9000%,121%,100%,40%,7.92,25,5.885,1,? 198.00,39552%,316%,? 50.00
1%,9000%,297%,0%,40%,7.09,21,7.3073,1,? 285.00,39472%,785%,? 32.20
1%,5500%,225%,0%,39%,6.45,32,7.3073,1,? 300.00,39472%,823%,? 22.00
2%,8000%,176%,0%,39%,6.23,NA,9.0892,1,? 241.00,34160%,1293%,? 20.10
4%,5250%,532%,0%,41%,6.21,31,7.3172,6,? 293.00,39690%,714%,? 23.20
NA,5250%,532%,0%,41%,6.32,46,7.3172,6,? 293.00,39690%,760%,? 22.30
4%,5250%,532%,0%,41%,6.57,23,7.3172,6,? 293.00,37172%,951%,? 24.80
4%,8000%,495%,0%,41%,6.86,28,5.1167,4,? 245.00,39690%,333%,? 28.50
8%,8000%,495%,0%,41%,7.15,28,5.1167,4,? 245.00,39690%,356%,? 37.30
4%,8000%,NA,0%,41%,6.63,23,5.1167,4,? 245.00,39690%,470%,? 27.90
8%,0%,1392%,0%,44%,6.13,18,5.5027,4,? 289.00,39690%,858%,? 23.90
8%,0%,1392%,NA,44%,6.01,42,5.5027,4,? 289.00,39690%,1040%,? 21.70
13%,0%,1392%,0%,44%,6.68,31,5.9604,4,? 289.00,39690%,627%,? 28.60
5%,0%,1392%,0%,44%,6.55,51,5.9604,4,? 289.00,39285%,739%,? 27.10
14%,0%,NA,0%,44%,5.79,58,6.32,4,? 289.00,39690%,1584%,? 20.30
6%,7000%,224%,0%,40%,6.35,20,7.8278,5,? 358.00,36824%,497%,? 22.50
6%,7000%,224%,0%,40%,7.04,10,7.8278,5,? 358.00,37158%,474%,? 29.00
4%,7000%,224%,0%,40%,6.87,47,7.8278,5,? 358.00,39086%,607%,? 24.80
4%,NA,609%,0%,43%,6.59,40,5.4917,7,? 329.00,39575%,950%,? 22.00
NA,3400%,609%,0%,43%,6.50,18,5.4917,7,? 329.00,38361%,867%,? 26.40
10%,NA,609%,0%,43%,6.98,18,5.4917,7,? 329.00,39043%,486%,? 33.10
6%,3300%,218%,0%,47%,7.24,41,4.022,7,? 222.00,39368%,693%,? 36.10
5%,3300%,NA,0%,47%,6.62,58,3.37,7,? 222.00,39336%,893%,? 28.40
8%,3300%,218%,0%,47%,7.42,72,3.0992,7,? 222.00,39690%,647%,? 33.40
5%,3300%,218%,0%,47%,6.85,70,3.1827,7,? 222.00,39690%,753%,? 28.20
49%,0%,990%,0%,54%,6.64,83,3.3175,4,? 304.00,39690%,454%,? 22.80
35%,0%,990%,0%,54%,5.97,77,3.1025,4,? 304.00,39624%,997%,? 20.30
264%,0%,990%,0%,54%,4.97,38,2.5194,4,? 304.00,35045%,1264%,? 16.10
79%,0%,990%,0%,54%,6.12,53,2.6403,4,? 304.00,39690%,598%,? 22.10
26%,0%,990%,0%,54%,6.02,90,2.834,4,? 304.00,39630%,1172%,? 19.40
27%,0%,990%,0%,54%,6.27,83,3.2628,4,? 304.00,39339%,790%,? 21.60
37%,0%,990%,0%,54%,6.57,87,3.6023,4,? 304.00,39569%,928%,? 23.80
25%,0%,990%,0%,54%,5.71,78,3.945,4,? 304.00,39642%,1150%,? 16.20
32%,0%,990%,0%,54%,5.91,NA,3.9986,4,? 304.00,39070%,1833%,? 17.80
25%,0%,990%,0%,54%,5.78,72,4.0317,4,? 304.00,39690%,1594%,? 19.80
40%,0%,990%,0%,54%,6.38,67,3.5325,4,? 304.00,39521%,1036%,? 23.10
48%,0%,990%,0%,54%,6.11,59,4.0019,4,? 304.00,39623%,1273%,? 21.00
17%,0%,738%,0%,49%,6.43,52,4.5404,5,? 287.00,39690%,720%,? 23.80
18%,0%,738%,0%,49%,6.38,54,4.5404,5,? 287.00,39690%,687%,? 23.10
35%,0%,738%,0%,49%,6.04,50,4.7211,5,? 287.00,39690%,770%,? 20.40
28%,0%,738%,0%,49%,5.71,74,4.7211,5,? 287.00,39113%,1174%,? 18.50
34%,0%,738%,0%,49%,6.42,40,4.7211,5,? 287.00,39690%,612%,? 25.00
19%,0%,738%,0%,49%,6.43,15,5.4159,5,? 287.00,39368%,508%,? 24.60
30%,0%,738%,0%,49%,6.31,29,5.4159,5,? 287.00,39690%,615%,? 23.00
24%,0%,738%,0%,49%,6.08,44,5.4159,5,? 287.00,39690%,1279%,? 22.20
7%,0%,324%,0%,46%,5.87,26,5.2146,4,? 430.00,38244%,997%,? 19.30
7%,0%,324%,0%,46%,6.33,17,5.2146,4,? 430.00,37521%,734%,? 22.60
5%,NA,324%,0%,46%,6.14,32,5.8736,4,? 430.00,36857%,909%,? 19.80
5%,3500%,606%,0%,44%,5.71,28,6.6407,1,? 304.00,39402%,1243%,? 17.10
3%,NA,606%,0%,44%,6.03,23,6.6407,1,? 304.00,36225%,783%,? 19.40
5%,0%,519%,0%,52%,6.32,38,6.4584,5,? 224.00,38971%,568%,? 22.20
4%,0%,519%,0%,52%,6.31,39,6.4584,5,? 224.00,38940%,675%,? 20.70
4%,0%,519%,0%,52%,6.04,35,5.9853,5,? 224.00,39690%,801%,? 21.10
3%,0%,519%,0%,52%,5.87,46,5.2311,5,? 224.00,39690%,980%,? 19.50
3%,0%,519%,0%,52%,5.90,60,5.615,5,? 224.00,39481%,1056%,? 18.50
3%,0%,519%,0%,52%,6.06,37,4.8122,5,? 224.00,39614%,851%,? 20.60
5%,0%,519%,0%,52%,5.99,45,4.8122,5,? 224.00,39690%,974%,? 19.00
6%,0%,519%,0%,52%,5.97,59,4.8122,5,? 224.00,39690%,929%,? 18.70
1%,3500%,152%,0%,44%,7.24,49,7.0379,1,? 284.00,39474%,549%,? 32.70
2%,0%,189%,0%,52%,6.54,60,6.2669,1,? 422.00,38996%,865%,? 16.50
3%,5500%,378%,0%,48%,6.70,56,5.7321,5,? 370.00,39690%,718%,? 23.90
3%,5500%,NA,0%,48%,6.87,28,6.4654,5,? 370.00,38797%,461%,? 31.20
3%,0%,439%,0%,44%,6.01,49,8.0136,3,? 352.00,38564%,1053%,? 17.50
6%,0%,439%,0%,44%,5.90,52,8.0136,3,? 352.00,36461%,1267%,? 17.20
2%,8500%,415%,0%,43%,6.52,28,8.5353,4,? 351.00,39243%,636%,? 23.10
2%,8000%,201%,0%,44%,6.64,30,8.344,4,? 280.00,39094%,599%,? 24.50
3%,4000%,125%,0%,43%,6.94,35,8.7921,1,? 335.00,38985%,NA,? 26.60
6%,NA,125%,0%,43%,6.49,44,8.7921,1,? 335.00,39690%,NA,? 22.90
8%,6000%,169%,0%,41%,6.58,36,10.7103,4,? 411.00,37078%,549%,? 24.10
7%,6000%,169%,0%,41%,5.88,19,10.7103,4,? 411.00,39233%,779%,? 18.60
2%,9000%,202%,0%,41%,6.73,36,12.1265,5,? 187.00,38446%,450%,? 30.10
4%,8000%,191%,0%,41%,5.66,22,10.5857,4,? 334.00,38280%,805%,? 18.20
11%,NA,191%,0%,41%,5.94,NA,10.5857,4,? 334.00,37604%,557%,? 20.60
898%,0%,1810%,100%,77%,6.21,97,2.1222,24,? 666.00,37773%,1760%,? 17.80
385%,0%,1810%,100%,77%,6.40,91,2.5052,24,? 666.00,39134%,1327%,? 21.70
520%,0%,1810%,100%,77%,6.13,83,2.7227,24,? 666.00,39543%,1148%,? 22.70
426%,0%,NA,0%,77%,6.11,81,2.5091,24,? 666.00,39074%,1267%,? 22.60
454%,0%,1810%,0%,77%,6.40,88,2.5182,24,? 666.00,37456%,779%,? 25.00
384%,0%,1810%,0%,77%,6.25,91,2.2955,24,? 666.00,35065%,1419%,? 19.90
368%,0%,1810%,0%,77%,5.36,96,2.1036,24,? 666.00,38079%,1019%,? 20.80
422%,0%,1810%,100%,77%,5.80,89,1.9047,24,? 666.00,35304%,1464%,? 16.80
347%,0%,1810%,100%,72%,8.78,83,1.9047,24,? 666.00,35455%,529%,? 21.90
456%,0%,1810%,0%,72%,3.56,88,1.6132,24,? 666.00,35470%,712%,? 27.50
370%,0%,1810%,0%,72%,4.96,91,1.7523,24,? 666.00,31603%,1400%,? 21.90
1352%,0%,1810%,NA,63%,3.86,100,1.5106,24,? 666.00,13142%,1333%,? 23.10
490%,0%,1810%,0%,63%,4.97,NA,1.3325,24,? 666.00,37552%,326%,? 50.00
NA,0%,1810%,100%,63%,6.68,97,1.3567,24,? 666.00,37533%,373%,? 50.00
654%,0%,1810%,100%,63%,7.02,98,1.2024,24,? 666.00,39205%,296%,? 50.00
923%,0%,1810%,0%,63%,6.22,100,1.1691,24,? 666.00,36615%,953%,? 50.00
827%,0%,1810%,100%,67%,5.88,90,1.1296,24,? 666.00,34788%,888%,? 50.00
1111%,0%,1810%,0%,67%,4.91,100,1.1742,24,? 666.00,39690%,3477%,? 13.80
1850%,0%,1810%,0%,67%,4.14,100,1.137,24,? 666.00,39690%,3797%,? 13.80
1961%,NA,1810%,0%,67%,7.31,98,1.3163,24,? 666.00,39690%,1344%,? 15.00
1529%,0%,1810%,NA,67%,6.65,93,1.3449,24,? 666.00,36302%,NA,? 13.90
982%,0%,1810%,0%,67%,6.79,99,1.358,24,? 666.00,39690%,2124%,? 13.30
2365%,0%,1810%,0%,67%,6.38,96,1.3861,24,? 666.00,39690%,2369%,? 13.10
1787%,0%,1810%,0%,67%,6.22,100,1.3861,24,? 666.00,39374%,2178%,? 10.20
8898%,0%,1810%,0%,67%,6.97,92,1.4165,24,? 666.00,39690%,1721%,? 10.40
1587%,0%,1810%,0%,67%,6.55,99,1.5192,24,? 666.00,39690%,2108%,? 10.90
919%,0%,1810%,0%,70%,5.54,100,1.5804,24,? 666.00,39690%,2360%,? 11.30
799%,0%,1810%,0%,70%,5.52,100,1.5331,24,? 666.00,39690%,NA,? 12.30
2008%,0%,1810%,0%,70%,4.37,91,1.4395,24,? 666.00,28583%,3063%,? 8.80
1681%,0%,1810%,0%,70%,5.28,98,1.4261,24,? 666.00,39690%,3081%,? 7.20
2439%,0%,1810%,0%,70%,4.65,100,1.4672,24,? 666.00,39690%,2828%,? 10.50
2260%,0%,1810%,0%,70%,5.00,90,1.5184,24,? 666.00,39690%,3199%,? 7.40
1433%,0%,1810%,NA,70%,4.88,100,1.5895,24,? 666.00,37292%,3062%,? 10.20
815%,0%,1810%,0%,70%,5.39,99,1.7281,24,? 666.00,39690%,2085%,? 11.50
696%,0%,1810%,0%,70%,5.71,97,1.9265,24,? 666.00,39443%,1711%,? 15.10
529%,0%,1810%,0%,70%,6.05,83,2.1678,24,? 666.00,37838%,1876%,? 23.20
1158%,0%,1810%,0%,70%,5.04,97,1.77,24,? 666.00,39690%,2568%,? 9.70
NA,0%,1810%,0%,69%,6.19,93,1.7912,24,? 666.00,39690%,1517%,? 13.80
NA,0%,1810%,0%,69%,5.89,95,1.7821,24,? 666.00,39690%,1635%,? 12.70
872%,0%,1810%,0%,69%,6.47,99,1.7257,24,? 666.00,39198%,1712%,? 13.10
587%,0%,1810%,0%,69%,6.41,96,1.6768,24,? 666.00,39690%,1937%,? 12.50
767%,0%,1810%,0%,69%,5.75,99,1.6334,24,? 666.00,39310%,1992%,? 8.50
3835%,0%,1810%,0%,69%,5.45,100,1.4896,24,? 666.00,39690%,3059%,? 5.00
992%,0%,1810%,0%,69%,5.85,78,1.5004,24,? 666.00,33816%,2997%,? 6.30
2505%,0%,1810%,0%,69%,5.99,100,1.5888,24,? 666.00,39690%,2677%,? 5.60
1424%,0%,1810%,NA,69%,6.34,100,1.5741,24,? 666.00,39690%,2032%,? 7.20
960%,0%,1810%,0%,69%,6.40,100,1.639,24,? 666.00,37611%,2031%,? 12.10
2480%,0%,1810%,0%,69%,5.35,96,1.7028,24,? 666.00,39690%,1977%,? 8.30
4153%,0%,1810%,0%,69%,5.53,85,1.6074,24,? 666.00,32946%,2738%,? 8.50
6792%,0%,1810%,0%,69%,5.68,100,1.4254,24,? 666.00,38497%,2298%,? 5.00
2072%,0%,NA,0%,66%,4.14,100,1.1781,24,? 666.00,37022%,2334%,? 11.90
1195%,0%,1810%,0%,66%,5.61,100,1.2852,24,? 666.00,33209%,NA,? 27.90
740%,0%,1810%,0%,60%,5.62,98,1.4547,24,? 666.00,31464%,2640%,? 17.20
NA,0%,1810%,0%,60%,6.85,100,1.4655,24,? 666.00,17936%,1978%,? 27.50
5114%,0%,1810%,0%,60%,5.76,100,1.413,24,? 666.00,260%,1011%,? 15.00
1405%,0%,1810%,0%,60%,6.66,100,1.5275,24,? 666.00,3505%,2122%,? 17.20
1881%,0%,1810%,0%,60%,4.63,100,1.5539,24,? 666.00,2879%,3437%,? 17.90
2866%,0%,1810%,0%,60%,5.16,100,1.5894,24,? 666.00,21097%,2008%,? 16.30
4575%,0%,1810%,0%,69%,4.52,100,1.6582,24,? 666.00,8827%,3698%,? 7.00
1808%,0%,1810%,0%,68%,6.43,100,1.8347,24,? 666.00,2725%,2905%,? 7.20
1083%,0%,1810%,0%,68%,6.78,91,1.8195,24,? 666.00,2157%,2579%,? 7.50
2594%,0%,1810%,0%,68%,5.30,89,1.6475,24,? 666.00,12736%,2664%,? 10.40
7353%,0%,1810%,0%,68%,5.96,100,1.8026,24,? 666.00,1645%,2062%,? 8.80
1181%,0%,1810%,0%,72%,6.82,77,1.794,24,? 666.00,4845%,2274%,? 8.40
1109%,0%,1810%,0%,72%,6.41,100,1.8589,24,? 666.00,31875%,1502%,? 16.70
702%,0%,1810%,0%,72%,6.01,95,1.8746,24,? 666.00,31998%,1570%,? 14.20
1205%,0%,1810%,0%,61%,5.65,88,1.9512,24,? 666.00,29155%,1410%,? 20.80
705%,0%,1810%,0%,61%,6.10,NA,2.0218,24,? 666.00,252%,2329%,? 13.40
879%,0%,1810%,0%,58%,5.57,71,2.0635,24,? 666.00,365%,1716%,? 11.70
1586%,0%,1810%,0%,68%,5.90,95,1.9096,24,? 666.00,768%,2439%,? 8.30
NA,0%,1810%,0%,58%,5.84,60,1.9976,24,? 666.00,2465%,1569%,? 10.20
3766%,NA,1810%,0%,68%,6.20,79,1.8629,24,? 666.00,1882%,1452%,? 10.90
737%,0%,1810%,0%,68%,6.19,78,1.9356,24,? 666.00,9673%,2152%,? 11.00
934%,0%,1810%,0%,68%,6.38,NA,1.9682,24,? 666.00,6072%,2408%,? 9.50
NA,0%,1810%,0%,58%,6.35,86,2.0527,24,? 666.00,8345%,1764%,? 14.50
1006%,0%,1810%,0%,58%,6.83,94,2.0882,24,? 666.00,8133%,1969%,? 14.10
644%,0%,1810%,0%,58%,6.43,75,2.2004,24,? 666.00,9795%,1203%,? 16.10
558%,0%,1810%,0%,71%,6.44,88,2.3158,24,? 666.00,10019%,1622%,? 14.30
1391%,0%,1810%,0%,71%,6.21,95,2.2222,24,? 666.00,10063%,1517%,? 11.70
1116%,0%,1810%,0%,74%,6.63,95,2.1247,24,? 666.00,10985%,2327%,? 13.40
1442%,0%,1810%,0%,74%,6.46,93,2.0026,24,? 666.00,2749%,1805%,? 9.60
1518%,0%,1810%,0%,74%,6.15,100,1.9142,24,? 666.00,932%,2645%,? 8.70
1368%,0%,1810%,0%,74%,5.94,88,1.8206,24,? 666.00,6895%,3402%,? 8.40
939%,0%,1810%,0%,74%,5.63,94,1.8172,24,? 666.00,39690%,2288%,? 12.80
2205%,0%,1810%,0%,74%,5.82,92,1.8662,24,? 666.00,39145%,NA,? 10.50
972%,0%,1810%,0%,74%,6.41,97,2.0651,24,? 666.00,38596%,NA,? 17.10
567%,0%,1810%,NA,74%,6.22,100,2.0048,24,? 666.00,39569%,1659%,? 18.40
997%,0%,1810%,0%,74%,6.49,100,1.9784,24,? 666.00,38673%,1885%,? 15.40
1280%,0%,1810%,0%,74%,5.85,97,1.8956,24,? 666.00,24052%,2379%,? 10.80
1067%,0%,1810%,0%,74%,6.46,95,1.9879,24,? 666.00,4306%,2398%,? 11.80
629%,0%,1810%,0%,74%,6.34,96,2.072,24,? 666.00,31801%,1779%,? 14.90
992%,0%,1810%,0%,74%,6.25,97,2.198,24,? 666.00,38852%,1644%,? 12.60
933%,0%,1810%,0%,71%,6.19,99,2.2616,24,? 666.00,39690%,1813%,? 14.10
753%,0%,1810%,0%,71%,6.42,98,2.185,24,? 666.00,30421%,1931%,? 13.00
672%,0%,1810%,NA,71%,6.75,93,2.3236,24,? 666.00,32%,1744%,? 13.40
544%,0%,1810%,0%,71%,6.66,NA,2.3552,24,? 666.00,35529%,1773%,? 15.20
509%,0%,1810%,0%,71%,6.30,92,2.3682,24,? 666.00,38509%,1727%,? 16.10
825%,0%,NA,0%,71%,7.39,99,2.4527,24,? 666.00,37587%,1674%,? 17.80
951%,0%,1810%,0%,71%,6.73,94,2.4961,24,? 666.00,668%,1871%,? 14.90
475%,0%,1810%,0%,71%,6.53,87,2.4358,24,? 666.00,5092%,1813%,? 14.10
467%,0%,1810%,0%,71%,5.98,88,2.5806,24,? 666.00,1048%,1901%,? 12.70
820%,0%,1810%,0%,71%,5.94,80,2.7792,24,? 666.00,350%,1694%,? 13.50
775%,NA,NA,0%,71%,6.30,84,2.7831,24,? 666.00,27221%,1623%,? 14.90
680%,0%,1810%,0%,71%,6.08,84,2.7175,24,? 666.00,39690%,1470%,? 20.00
NA,0%,1810%,0%,71%,6.70,90,2.5975,24,? 666.00,25523%,1642%,? 16.40
369%,0%,1810%,0%,71%,6.38,88,2.5671,24,? 666.00,39143%,1465%,? 17.70
665%,0%,1810%,0%,71%,6.32,83,2.7344,24,? 666.00,39690%,1399%,? 19.50
582%,0%,1810%,0%,71%,6.51,90,2.8016,24,? 666.00,39382%,1029%,? 20.20
784%,0%,1810%,0%,66%,6.21,65,2.9634,24,? 666.00,39690%,1322%,? 21.40
NA,0%,1810%,NA,66%,5.76,48,3.0665,24,? 666.00,33440%,1413%,? 19.90
377%,0%,NA,0%,66%,5.95,85,2.8715,24,? 666.00,2201%,1715%,? 19.00
442%,0%,1810%,0%,58%,6.00,95,2.5403,24,? 666.00,33129%,2132%,? 19.10
1558%,0%,1810%,0%,58%,5.93,71,2.9084,24,? 666.00,36874%,1813%,? 19.10
1308%,0%,1810%,0%,58%,5.71,57,2.8237,24,? 666.00,39690%,1476%,? 20.10
435%,0%,1810%,0%,58%,6.17,84,3.0334,24,? 666.00,39690%,1629%,? 19.90
404%,0%,1810%,0%,53%,6.23,91,3.0993,24,? 666.00,39533%,1287%,? 19.60
357%,0%,1810%,0%,58%,6.44,75,2.8965,24,? 666.00,39337%,1436%,? 23.20
465%,0%,1810%,0%,61%,6.98,68,2.5329,24,? 666.00,37468%,NA,? 29.80
806%,0%,1810%,0%,58%,5.43,95,2.4298,24,? 666.00,35258%,1814%,? 13.80
639%,0%,1810%,0%,58%,6.16,97,2.206,24,? 666.00,30276%,2410%,? 13.30
487%,0%,1810%,0%,61%,6.48,94,2.3053,24,? 666.00,39621%,1868%,? 16.70
1502%,0%,1810%,0%,61%,5.30,97,2.1007,24,? 666.00,34948%,2491%,? 12.00
1023%,0%,1810%,0%,61%,6.19,97,2.1705,24,? 666.00,37970%,1803%,? 14.60
1433%,0%,1810%,NA,61%,6.23,88,1.9512,24,? 666.00,38332%,1311%,? 21.40
582%,0%,1810%,0%,53%,6.24,65,3.4242,24,? 666.00,39690%,1074%,? 23.00
571%,0%,1810%,0%,53%,6.75,75,3.3317,24,? 666.00,39307%,774%,? 23.70
573%,0%,1810%,NA,53%,7.06,77,3.4106,24,? 666.00,39528%,701%,? 25.00
282%,0%,1810%,0%,53%,5.76,40,4.0983,24,? 666.00,39292%,1042%,? 21.80
238%,0%,1810%,0%,58%,5.87,42,3.724,24,? 666.00,37073%,1334%,? 20.60
367%,0%,1810%,0%,58%,6.31,52,3.9917,24,? 666.00,38862%,1058%,? 21.20
569%,0%,1810%,0%,58%,6.11,80,3.5459,24,? 666.00,39268%,1498%,? 19.10
484%,0%,1810%,0%,58%,5.91,53,3.1523,24,? 666.00,38822%,1145%,? 20.60
15%,0%,2774%,0%,61%,5.45,93,1.8209,4,? 711.00,39509%,1806%,? 15.20
18%,0%,2774%,0%,61%,5.41,98,1.7554,4,? 711.00,34405%,2397%,? 7.00
21%,0%,2774%,0%,61%,5.09,98,1.8226,4,? 711.00,31843%,2968%,? 8.10
11%,0%,2774%,0%,61%,5.98,99,1.8681,4,? 711.00,39011%,1807%,? 13.60
11%,0%,2774%,0%,61%,5.98,84,2.1099,4,? 711.00,39690%,1335%,? 20.10
17%,0%,969%,0%,59%,5.71,54,2.3817,6,? 391.00,39690%,1201%,? 21.80
28%,0%,969%,0%,59%,5.93,43,2.3817,6,? 391.00,39690%,1359%,? 24.50
18%,0%,969%,0%,59%,5.67,29,2.7986,6,? 391.00,39329%,1760%,? 23.10
29%,0%,969%,0%,59%,5.39,73,2.7986,6,? 391.00,39690%,2114%,? 19.70
27%,0%,969%,0%,59%,5.79,71,2.8927,6,? 391.00,39690%,1410%,? 18.30
24%,0%,969%,0%,59%,6.02,65,2.4091,6,? 391.00,39690%,1292%,? 21.20
18%,0%,969%,0%,59%,5.57,74,2.3999,6,? 391.00,39577%,1510%,? 17.50
22%,0%,969%,0%,59%,6.03,80,2.4982,6,? 391.00,39690%,1433%,? 16.80
6%,0%,1193%,0%,57%,6.59,69,2.4786,1,? 273.00,39199%,NA,? 22.40
5%,0%,1193%,0%,57%,6.12,77,2.2875,1,? 273.00,39690%,908%,? 20.60
6%,0%,1193%,0%,57%,6.98,91,2.1675,1,? 273.00,39690%,564%,? 23.90
11%,0%,1193%,0%,57%,6.79,89,2.3889,1,? 273.00,39345%,648%,? 22.00
5%,0%,1193%,0%,57%,6.03,NA,2.505,1,? 273.00,39690%,788%,? 11.90
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
